"","subjectline"
"1373"," Re: New testing packages"
"1374"," Re: sylpheed-claws"
"1375"," Re: Should mplayer be build with Win32 codecs?"
"1376"," Re: Should mplayer be build with Win32 codecs?"
"1377"," RE: Java is for kiddies"
"1378"," Re: New testing packages"
"1379"," Re: sylpheed-claws"
"1380"," Re: bad focus/click behaviours"
"1381"," Re: bad focus/click behaviours"
"1382"," Re: bad focus/click behaviours"
"1383"," Re: bad focus/click behaviours"
"1384"," Re: bad focus/click behaviours"
"1385"," Re: traceback in new exmh"
"1386"," Re: traceback in new exmh"
"1387"," Re: traceback in new exmh"
"1388"," Re: Java is for kiddies"
"1389"," Re: traceback in new exmh"
"1390"," Re: traceback in new exmh"
"1391"," Re: traceback in new exmh"
"1392"," Re: Minor feature request"
"1393"," Re: Exmh && speed"
"1394"," Bug report: msg n+1 marked read"
"1395"," Re: Bug report: msg n+1 marked read"
"1396"," exmh and pgp: support for external passphrase cache (+patch)"
"1397"," Re: Help! I've lost my exmh-unseen window!"
"1398"," Re: Help! I've lost my exmh-unseen window!"
"1399"," RE: Java is for kiddies"
"1400"," Re: Help! I've lost my exmh-unseen window!"
"1401"," Re: Help! I've lost my exmh-unseen window!"
"1402"," Working My_Mark2CurSeen"
"1403"," Re: Working My_Mark2CurSeen"
"1404"," Re: Working My_Mark2CurSeen"
"1405"," Re: Working My_Mark2CurSeen"
"1406"," Unseen window versus Sequences Window"
"1407"," Bindings problem with current CVS code"
"1408"," Re: Bindings problem with current CVS code"
"1409"," Re: Unseen window versus Sequences Window"
"1410"," Re: [ILUG] Seconds to date?"
"1411"," A couple of nits..."
"1412"," Re: Unseen window versus Sequences Window"
"1413"," Re: A couple of nits..."
"1414"," Re: Bindings problem with current CVS code"
"1415"," Re: Another sequences window nit"
"1416"," Re: Working My_Mark2CurSeen"
"1417"," Ringing bell on other computer"
"1418"," Re: Ringing bell on other computer"
"1419"," Re: Insert signature"
"1420"," Re: New Sequences Window"
"1421"," RE: Java is for kiddies"
"1422"," Re: New Sequences Window"
"1423"," Re: CVS report"
"1424"," Re: CVS report"
"1425"," Re: CVS report"
"1426"," Re: Insert signature"
"1427"," Re: Insert signature"
"1428"," Anolther sequence related traceback"
"1429"," Re: Insert signature"
"1430"," Re: CVS report"
"1431"," Re: CVS report"
"1432"," [ILUG] Can I be added to your email distribution lists?"
"1433"," Re: CVS report"
"1434"," Re: Anolther sequence related traceback"
"1435"," ARRRGHHH Had GPG working, now it doesnt."
"1436"," Re: Ringing bell on other computer"
"1437"," Re: Ringing bell on other computer"
"1438"," From"
"1439"," Re: From"
"1440"," Re: From"
"1441"," Re: From"
"1442"," Re: From"
"1443"," RE: Java is for kiddies"
"1444"," Re: From"
"1445"," Re: From"
"1446"," Re: From"
"1447"," Re: From"
"1448"," Re: sylpheed-claws"
"1449"," Re: sylpheed-claws"
"1450"," Re: sylpheed-claws"
"1451"," Re: Should mplayer be build with Win32 codecs?"
"1452"," netatalk-1.5.5-1rh7"
"1453"," hi"
"1454"," [ILUG] VPN implementation"
"1455"," Re: hi"
"1456"," Red Hat 8.0"
"1457"," Re: [gst-devel] Red Hat 8.0"
"1458"," Re: [gst-devel] Red Hat 8.0"
"1459"," Re: [gst-devel] Red Hat 8.0"
"1460"," Re: New testing packages"
"1461"," Re: All set for Red Hat Linux 8.0"
"1462"," Re: New testing packages"
"1463"," Re: All set for Red Hat Linux 8.0"
"1464"," apt 0.5.7 on RH 7.x"
"1465"," [ILUG] The Age Old 'Which Mailer' Question"
"1466"," Re: ALSA Problem with Null kernel"
"1467"," Re: apt 0.5.7 on RH 7.x"
"1468"," Re: apt 0.5.7 on RH 7.x"
"1469"," Re: ALSA Problem with Null kernel"
"1470"," Re: ALSA Problem with Null kernel"
"1471"," Re: apt 0.5.7 on RH 7.x"
"1472"," Re: apt 0.5.7 on RH 7.x"
"1473"," use new apt to do null to RH8 upgrade?"
"1474"," Re: use new apt to do null to RH8 upgrade?"
"1475"," Re: use new apt to do null to RH8 upgrade?"
"1476"," [ILUG] What HOWTOs for SOHO system"
"1477"," Re: use new apt to do null to RH8 upgrade?"
"1478"," Re: use new apt to do null to RH8 upgrade?"
"1479"," Re: Gabber packages for 8.0 (was: All set for Red Hat Linux 8.0)"
"1480"," Re: Gabber packages for 8.0 (was: All set for Red Hat Linux 8.0)"
"1481"," Re: use new apt to do null to RH8 upgrade?"
"1482"," Re: use new apt to do null to RH8 upgrade?"
"1483"," alsa-driver.spec tweak for homemade kernels"
"1484"," Re: use new apt to do null to RH8 upgrade?"
"1485"," Re: alsa-driver.spec tweak for homemade kernels"
"1486"," Re: alsa-driver.spec tweak for homemade kernels"
"1487"," RE: [ILUG] What HOWTOs for SOHO system"
"1488"," [ILUG] What HOWTOs for SOHO system"
"1489"," Re: use new apt to do null to RH8 upgrade?"
"1490"," Debian-style task-packages for RH8.0 available"
"1491"," freshrpms.net resources (was Re: use new apt to do null to RH8"
"1492"," Re: use new apt to do null to RH8 upgrade?"
"1493"," Re: use new apt to do null to RH8 upgrade?"
"1494"," Re: alsa-driver.spec tweak for homemade kernels"
"1495"," Re: use new apt to do null to RH8 upgrade?"
"1496"," Re: alsa-driver.spec tweak for homemade kernels"
"1497"," Re: use new apt to do null to RH8 upgrade?"
"1498"," Mplayer"
"1499"," [ILUG] Email list management howto"
"1500"," Re: Mplayer"
"1501"," Re: alsa-driver.spec tweak for homemade kernels ..."
"1502"," Re: Python 2.2 site libs?"
"1503"," Re: Python 2.2 site libs?"
"1504"," Re: f-rpm] Python 2.2 site libs?"
"1505"," Re: K3B"
"1506"," apt.conf suggestion"
"1507"," Re: Python 2.2 site libs?"
"1508"," Re: K3B"
"1509"," Re: apt.conf suggestion"
"1510"," Re: [ILUG] Serial number in hosts file"
"1511"," Re: K3B"
"1512"," Re: K3B"
"1513"," Re: K3B"
"1514"," Re: Mplayer"
"1515"," Re: Mplayer"
"1516"," Re: Mplayer"
"1517"," Re: K3B"
"1518"," Psyche: Anyone else tried it?"
"1519"," Re: problems with apt/synaptic"
"1520"," Re: Alsa/Redhat 8 compatability"
"1521"," Re: [ILUG] Email list management howto"
"1522"," Re: Alsa/Redhat 8 compatability"
"1523"," Re: RedHat 8.0 and his own freetype"
"1524"," Problem building lame-3.92-fr5.src.rpm on RH8"
"1525"," Xine dependencies"
"1526"," Re: Xine dependencies"
"1527"," Re: Problem building lame-3.92-fr5.src.rpm on RH8"
"1528"," Re: alsa-driver.spec tweak for homemade kernels"
"1529"," Re: Xine dependencies"
"1530"," Re: Xine Dependencies"
"1531"," Re: RedHat 8.0 and his own freetype"
"1532"," Re: [ILUG] Email list management howto"
"1533"," Re: Problem building lame-3.92-fr5.src.rpm on RH8"
"1534"," Re: f-rpm] Re: Problem building lame-3.92-fr5.src.rpm on RH8"
"1535"," xine src package"
"1536"," Re: xine src package"
"1537"," RH 8 no DMA for DVD drive"
"1538"," Re: RH 8 no DMA for DVD drive"
"1539"," Re: RH 8 no DMA for DVD drive"
"1540"," apt-get problem ?"
"1541"," Re: apt-get problem ?"
"1542"," a problem with apt-get"
"1543"," Re: [ILUG] Serial number in hosts file"
"1544"," Re: RH 8 no DMA for DVD drive"
"1545"," Re: RH 8 no DMA for DVD drive"
"1546"," Re: RH 8 no DMA for DVD drive"
"1547"," Re: transcode build problem (was: RH 8 no DMA for DVD drive)"
"1548"," Re: RH 8 no DMA for DVD drive"
"1549"," Re: RH 8 no DMA for DVD drive"
"1550"," Re: transcode build problem (was: RH 8 no DMA for DVD drive)"
"1551"," Re: RH 8 no DMA for DVD drive"
"1552"," Re: RH 8 no DMA for DVD drive"
"1553"," Re: RH 8 no DMA for DVD drive"
"1554"," [ILUG] Damian Conway in Belfast..."
"1555"," Nessus?"
"1556"," Re: Nessus?"
"1557"," Re: Nessus?"
"1558"," Re: xmms and .mp3 files."
"1559"," Re: mplayer not working for me"
"1560"," Re: mplayer not working for me"
"1561"," Re: ALSA (almost) made easy"
"1562"," Re: ALSA (almost) made easy"
"1563"," Re: ALSA (almost) made easy"
"1564"," Re: /home/dude"
"1565"," [ILUG] Marketing SIG has a good start :)"
"1566"," Re: alsa-driver rebuild fails with undeclared USB symbol"
"1567"," Re: alsa-driver rebuild fails with undeclared USB symbol"
"1568"," Re: alsa-driver rebuild fails with undeclared USB symbol"
"1569"," Re: ALSA (almost) made easy (gamix rocks)"
"1570"," Fw: some (null) eyecandy packages"
"1571"," some (null) eyecandy packages"
"1572"," Re: Nessus?"
"1573"," Re: xine src packge still gives errors"
"1574"," Re: xmms and .mp3 files."
"1575"," Re: a problem with apt-get"
"1576"," Re: RH 8 no DMA for DVD drive"
"1577"," RE: [ILUG] Redhat 8.0"
"1578"," Re: [ILUG] Redhat 8.0"
"1579"," Re: ALSA (almost) made easy"
"1580"," Problems with xosd-xmms"
"1581"," Re: xine cannot play DVDs - ""liba52: a52_block error"""
"1582"," Re: Ack, apt-get still failing for me, stumped. [RH8]"
"1583"," Apt 0.3 and 0.5"
"1584"," Re: Apt 0.3 and 0.5"
"1585"," dvd::rip on Red Hat 8.0?"
"1586"," Re: dvd::rip on Red Hat 8.0?"
"1587"," blogged item"
"1588","      The Case of the Stoneybatter Strangler"
"1589"," Re: results for giant mass-check (phew)"
"1590"," [ILUG] freeserve in the uk?"
"1591"," [SAdev] Spam-Assassin nightly build 22-8-02"
"1592"," Re: [SAtalk] Highest-scoring false positive"
"1593"," Re: [SAtalk] Highest-scoring false positive"
"1594"," [SAtalk] Some Stupid Questions"
"1595"," Re: [SAtalk] Some Stupid Questions"
"1596"," [SACVS] CVS: spamassassin/masses mass-check,1.67,1.67.2.1"
"1597"," [SAtalk] Re: [SAdev] 2.40 RELEASE PROCESS: mass-check status, folks?"
"1598"," Re: [SAtalk] German spam corpus / foreign language spam"
"1599"," Re: [SAtalk] Re: SA In The News"
"1600"," [SAtalk] help with postfix + spamassassin"
"1601"," Re: ARRRGHHH Had GPG working, now it doesnt."
"1602"," [SAtalk] Version 1.1.11 of the DCC (fwd)"
"1603"," Version 1.1.11 of the DCC"
"1604"," Re: Whitelisting (Re: [SAtalk] SA In The News)"
"1605"," Re: [SAdev] Re: several messages"
"1606"," Re: [SAtalk] help with postfix + spamassassin"
"1607"," Re: [SAtalk] Re: Other uses for SA?"
"1608"," Re: [SAtalk] 2.40 RELEASE: oops -- newer freqs."
"1609"," Re: [SAtalk] 2.40 RELEASE: oops -- newer freqs."
"1610"," Re: [SAdev] [Bug 735] spamassassin -t lies"
"1611"," Re: [SAtalk] From: and To: are my address"
"1612"," [SAtalk] Test spam"
"1613"," Re: bad DCC traffic from e-corp.net"
"1614"," [SACVS] CVS: spamassassin/debian spamassassin.README.Debian,1.1,1.2"
"1615"," Re: [SAtalk] where can I find the Habeas patent (application)?"
"1616"," MacOS X (Re: [SAtalk] [OT] Habeas-talk (was: 2.40 RELEASE: oops"
"1617"," Re: patent on TMDA-like system"
"1618"," Re: [SAdev] SpamAssassin POP3 proxy"
"1619"," Re: [SAdev] SpamAssassin POP3 proxy"
"1620"," Re: FAQ: taint warnings from SA in /etc/procmailrc"
"1621"," Re: patent on TMDA-like system"
"1622"," Re: [SAtalk] Re: patent on TMDA-like system"
"1623"," [SAtalk] Re: patent on TMDA-like system"
"1624"," Re: [SAtalk] Re: patent on TMDA-like system"
"1625"," RE: [ILUG] VPN implementation"
"1626"," Re: [SAtalk] test"
"1627"," RE: [SAtalk] Too funny"
"1628"," Re: [SAtalk] Too funny"
"1629"," [SAtalk] Re: Too funny"
"1630"," Re: [SAtalk] Too funny"
"1631"," [SAdev] [Bug 777] tests to find hand-written HTML"
"1632"," [SACVS] CVS: spamassassin/masses evolve.cxx,1.28,NONE"
"1633"," [SACVS] CVS: spamassassin MANIFEST,1.100.2.11,1.100.2.12"
"1634"," Re: [SAtalk] Too funny"
"1635"," Re: [SAtalk] testing the install"
"1636"," RE: [ILUG] Drop in replacement for Ingres Database?"
"1637"," [SAdev] 2.40: ready for release?"
"1638"," [SAtalk] Compile error under Digital Unix"
"1639"," [SAtalk] O.T. Habeus -- Why?"
"1640"," Re: [SAdev] 2.40: ready for release? *NO*"
"1641"," [SAtalk] updating SA"
"1642"," Re: [SAtalk] custom score for a given domain?"
"1643"," RE: [SAtalk] O.T. Habeus -- Why?"
"1644"," Re: [SAtalk] updating SA"
"1645"," Re: [SAdev] 2.40: ready for release? *NO*"
"1646"," Re: [SAtalk] O.T. Habeus -- Why?"
"1647"," [ILUG] serial port transient failure"
"1648"," Re: [SAtalk] O.T. Habeus -- Why?"
"1649"," Re: [SAdev] 2.40: ready for release?"
"1650"," [SAtalk] Tru64 compile of SA"
"1651"," [SACVS] CVS: spamassassin/masses parse-rules-for-masses,1.1.2.2,1.1.2.3"
"1652"," Re: [SAtalk] O.T. Habeus -- Why?"
"1653"," Re: [SAtalk] custom score for a given domain?"
"1654"," [SAtalk] Compile error under Digital Unix"
"1655"," [SAtalk] moving SPAM: results to bottom of message."
"1656"," [SACVS] CVS: spamassassin/t SATest.pm,1.15.4.1,1.15.4.2"
"1657"," Re: [SAtalk] O.T. Habeus -- Why?"
"1658"," Re: [ILUG] rpm dependencies"
"1659"," Re: [SAtalk] O.T. Habeus -- Why?"
"1660"," [SACVS] CVS: spamassassin configure,1.1.2.1,1.1.2.2"
"1661"," Re: [SAdev] 2.40: ready for release?"
"1662"," Re: [SAtalk] O.T. Habeus -- Why?"
"1663"," Re: [SAtalk] O.T. Habeus -- Why?"
"1664"," Re: [SAtalk] O.T. Habeus -- Why?"
"1665"," [SAtalk] Having a problem"
"1666"," Re: [SAtalk] O.T. Habeus -- Why?"
"1667"," RE: [SAtalk] O.T. Habeus -- Why?"
"1668"," Re: [SAtalk] O.T. Habeus -- Why?"
"1669"," Re: [SAtalk] O.T. Habeus -- Why?"
"1670"," Re: [ILUG] rpm dependencies"
"1671"," Re: [SAtalk] Tru64 compile of SA"
"1672"," Re: [SAdev] 2.40: ready for release?"
"1673"," Re: [SAtalk] O.T. Habeus -- Why?"
"1674"," Re: [SAtalk] O.T. Habeus -- Why?"
"1675"," RE: [SAtalk] O.T. Habeus -- Why?"
"1676"," Re: [SAtalk] SA very slow (hangs?) on this message, or is it just me?"
"1677"," Re: [SAtalk] SA very slow (hangs?) on this message, or is it just me?"
"1678"," [SACVS] CVS: spamassassin procmailrc.example,1.3,1.3.2.1"
"1679"," Re: [SAtalk] SA very slow (hangs?) on this message, or is it just me?"
"1680"," Re: [SAtalk] SA very slow (hangs?) on this message, or is it just me?"
"1681"," Re: [ILUG] Interesting article on free software licences"
"1682"," Re: [SAtalk] O.T. Habeus -- Why?"
"1683"," Re: [SAtalk] UPPERCASE_* rules and foreign character sets"
"1684"," Re: [SAtalk] O.T. Habeus -- Why?"
"1685"," Re: [SAdev] GA-assigned SPAM_PHRASE_55_XX score"
"1686"," Re: [SAdev] results of scorer evaluation"
"1687"," Re: [SAdev] results of scorer evaluation"
"1688"," Re: [SAtalk] Tru64 compile of SA"
"1689"," Re: [SAdev] SpamAssassin v2.40 released (finally)!"
"1690"," [Razor-users] honor is not in csl"
"1691"," RE: [Razor-users] honor is not in csl"
"1692"," [Razor-users] honor is not in csl"
"1693"," [ILUG] Retrieving read mail from webmail.eircom.net via POP ?"
"1694"," [Razor-users] Razor with sendmail"
"1695"," [Razor-users] Razor 2.14 - the day after"
"1696"," Re: [Razor-users] Razor 2.14 - the day after"
"1697"," Re: [Razor-users] Razor with sendmail"
"1698"," Re: [Razor-users] Razor with sendmail"
"1699"," RE: [Razor-users] Razor with sendmail"
"1700"," Re: [Razor-users] Razor with sendmail"
"1701"," Re: [Razor-users] Razor with sendmail"
"1702"," Re: Storing passwords"
"1703"," Secure Sofware Key"
"1704"," Re: Secure Sofware Key"
"1705"," Re: [ILUG] Retrieving read mail from webmail.eircom.net via POP ?"
"1706"," Re: Secure Sofware Key"
"1707"," Re: Secure Sofware Key"
"1708"," Re: Secure Sofware Key"
"1709"," Re: Secure Sofware Key"
"1710"," Re: Secure Sofware Key"
"1711"," Re: Secure Sofware Key"
"1712"," [Spambayes] All but one testing"
"1713"," [Spambayes] all but one testing"
"1714"," [Spambayes] All but one testing"
"1715"," [Spambayes] test sets?"
"1716"," Re: [ILUG] adsl router modem combo"
"1717"," [Spambayes] test sets?"
"1718"," [Spambayes] all but one testing"
"1719"," [Spambayes] test sets?"
"1720"," [Spambayes] Re: [Python-Dev] Getting started with GBayes testing "
"1721"," [Spambayes] test sets? "
"1722"," Re: [SAdev] SpamAssassin v2.40 released (finally)!"
"1723"," [SAtalk] ""Broken Pipe"" on initial test"
"1724"," Re: [SAtalk] SpamAssassin v2.40 released (finally)!"
"1725"," [SACVS] CVS: spamassassin/masses/tenpass - New directory"
"1726"," [SAdev] [Bug 804] Razor debugging isn't functioning"
"1727"," Re: [ILUG] Interesting article on free software licences"
"1728"," [SAdev] [Bug 805] Razor2 lookups don't work"
"1729"," Re: [SAtalk] SpamAssassin v2.40 released (finally)!"
"1730"," Re: [SAdev] 2.41 release? "
"1731"," Re: [SAtalk] BUG: spamd --allowed-ips=[127.0.0.1 must be first]"
"1732"," [SAtalk] Re: Custom actions for high scoring spam"
"1733"," [SACVS] CVS: spamassassin/lib/Mail/SpamAssassin Conf.pm,1.91.2.7,1.91.2.8"
"1734"," WARNING. Mail Delayed: Re: [SAtalk] [OT] Perl problem and 2.40"
"1735"," Re: [SAtalk] [OT] Perl problem and 2.40 released"
"1736"," Re: [SAtalk] PerMsgStatus.pm error?"
"1737"," [SAtalk] www.spamassassin.org: giving a HTTP/1.1 error from"
"1738"," Re: [SAtalk] getting single-user spam assassin to work in FreeBSD"
"1739"," [Same thread ish] [ILUG] adsl router modem combo"
"1740"," Re: [ILUG] adsl router modem combo"
"1741"," Re: [SAtalk] Trend: Spam disguised as newsletters"
"1742"," Re: [SAtalk] My SA went crazy."
"1743"," [SAtalk] Thought for RPM/deb/etc packagers"
"1744"," Re: [SAtalk] PerMsgStatus.pm error?"
"1745"," [SAtalk] [OT] SpamAssassin figures..."
"1746"," Re: [SAtalk] [OT] SpamAssassin figures..."
"1747"," Re: [SAtalk] redhat init.d script for spamd and the -H option"
"1748"," Re: [SAtalk] Lotus Notes users?"
"1749"," Re: [SAdev] [Bug 840] spam_level_char option change/removal"
"1750"," [SAdev] [Bug 840] spam_level_char option change/removal"
"1751"," Re: [SAdev]  spam_level_char option change/removal"
"1752"," Re: [ILUG] adsl router modem combo"
"1753"," Re: [SAtalk] Lotus Notes users?"
"1754"," [SAtalk] spamd can't find..."
"1755"," [SAtalk] Huh?"
"1756"," Re: [SAdev] Re: [SACVS] CVS: spamassassin/rules 60_whitelist.cf,1.29,1.30"
"1757"," [SAdev] [Bug 486] SpamAssassin causes zombies (network tests,"
"1758"," Re: [SAtalk] base64 decode problem?"
"1759"," Re: [SAdev] 2.42 to come ?"
"1760"," [SAtalk] Reject, Blackhole, or Fake No-User?"
"1761"," Re: [SAtalk] Yeah right... If spamassassin was looking through th"
"1762"," Re: [SAtalk] Re: [SAdev] File::Spec and v2.41"
"1763"," [zzzzteana] Re: Megalithomania UnPissup"
"1764"," RE: [SAtalk] Debianized Packages for SA 2.3+"
"1765"," [SAtalk] Debianized Packages for SA 2.3+"
"1766"," Re: [SAtalk] Re: [SAdev] File::Spec and v2.41"
"1767"," [SAtalk] Is DCC for real?"
"1768"," Re: [SAtalk] Badly Formatted Spam Report in HTML spam"
"1769"," [SAtalk] Re: Spamassassin-talk digest, Vol 1 #659 - 41 msgs"
"1770"," Re: [SAtalk] Calypso email = ratware? "
"1771"," Re: [SAtalk] Bayesian and bogofilter"
"1772"," Re: [SAtalk] Reject, Blackhole, or Fake No-User"
"1773"," RE: [SAtalk] 2.41/2.50 spamd/spamc problem"
"1774"," RE: [SAtalk] 2.41/2.50 spamd/spamc problem"
"1775"," [SAtalk] 2.41/2.50 spamd/spamc problem"
"1776"," [SAtalk] Spamassassin with Pyzor"
"1777"," Re: [SAtalk] Getting yourself removed from spam lists"
"1778"," Re: [zzzzteana] Re: Megalithomania UnPissup"
"1779"," [zzzzteana] Re: Megalithomania UnPissup"
"1780"," RE: [SAtalk] Getting yourself removed from spam lists"
"1781"," [SAtalk] Getting yourself removed from spam lists"
"1782"," Re: [SAtalk] Getting yourself removed from spam lists"
"1783"," [SAtalk] OT: DNS MX Record Clarification Please"
"1784"," Re: [SAtalk] OT: DNS MX Record Clarification Please"
"1785"," Re: [SAtalk] spamc -c problems on 2.41?"
"1786"," Re: [SAtalk] OT: DNS MX Record Clarification Please"
"1787"," Re: [SAtalk] Still confused about spamd/c"
"1788"," [SAdev] spamc load balancing to multiple spamd"
"1789"," Re: [SAtalk] Getting yourself removed from spam lists"
"1790"," [SAtalk] RBL timed oiut and Spam Assassin killed"
"1791"," [zzzzteana] SETI at Home"
"1792"," Re: [SAdev] Suggestion - 2 levels of Spam Status"
"1793"," Re: [SAtalk] RBL timed oiut and Spam Assassin killed"
"1794"," Re: [SAdev] Suggestion - 2 levels of Spam Status"
"1795"," [Razor-users] Performance"
"1796"," [SAtalk] Running SA as a user app?"
"1797"," Re: [SAdev] testing with less rules"
"1798"," Re: [SAdev] testing with less rules"
"1799"," Re: [SAtalk] Can someone please tell me how to get an answer from"
"1800"," Re: [SAdev] Re: [SAtalk] SpamAssassin and unconfirmed.dsbl.org"
"1801"," Re: [SAtalk] checking out Razor2 (and SA 2.41) install - Net::DNS:Resolver problem? "
"1802"," [zzzzteana] A New Theory on Mapping the New World"
"1803"," Re: [SAdev] phew! "
"1804"," [SAtalk] spamc and DCC"
"1805"," Re: [SAtalk] Ignore System Messages - How?"
"1806"," RE: [SAdev] phew!"
"1807"," Re: [SAtalk] dependencies / pre-requisites for installation in"
"1808"," Re: [SAdev] phew! "
"1809"," [SAdev] [Bug 828] spamassassin.org is unreliable"
"1810"," [SAdev] [Bug 1008] SpamAssassin does not work with Glance for"
"1811"," [SAdev] [Bug 886] Add a rule to detect Content-type message/partial"
"1812"," [SAdev] [Bug 813] add Bayesian spam filtering"
"1813"," Re: [zzzzteana] Re: Megalithomania UnPissup"
"1814"," [SAdev] [Bug 1012] negate directive addition"
"1815"," Re: [SAtalk] Spam host?"
"1816"," RE: [SAtalk] separate inbound and outbound"
"1817"," Re: [SAtalk] separate inbound and outbound"
"1818"," RE: [SAtalk] user_prefs ignored"
"1819"," [SAtalk] user_prefs ignored"
"1820"," Re: [SAdev] Have mass-check remove X-Spam-* headers?"
"1821"," [SAtalk] Razor problem"
"1822"," Re: GA Development (was Re: [SAdev] [Bug 1030] NO_INVENTORY"
"1823"," Returned mail: [SACVS] CVS: spamassassin/masses craig-evolve.c.ALTIVEC,NONE,1.1"
"1824"," Re: [SAtalk] URL blacklist"
"1825"," Re: [SAtalk] telesp.net.br?"
"1826"," [zzzzteana] Man admits Soham kidnapping hoax calls"
"1827"," Re: [SAdev] phew!"
"1828"," Re: [SAdev] Re: [Razor-users] Mutating spam"
"1829"," [SACVS] CVS: spamassassin/lib/Mail SpamAssassin.pm,1.115.2.11,1.115.2.12"
"1830"," [SACVS] CVS: spamassassin spamassassin.raw,1.68.2.12,1.68.2.13"
"1831"," [SACVS] CVS: spamassassin/t db_based_whitelist.t,1.6.4.1,1.6.4.2"
"1832"," [SACVS] CVS: spamassassin spamassassin.raw,1.76,1.77"
"1833"," [SACVS] CVS: spamassassin/rules 50_scores.cf,1.226,1.227"
"1834"," [SACVS] CVS: spamassassin/t db_based_whitelist.t,1.7,1.8"
"1835"," Re: [SAtalk] 2.42: est release?"
"1836"," Re: [SAdev] Re: Web subscription for spamassassin package"
"1837"," Re: [zzzzteana] RE:Prophecies"
"1838"," [SAdev] [Bug 1049] Pathname for ""triplets.txt"" is incorrect."
"1839"," [SAdev] [Bug 1006] Spamassassin's build process makes packaging"
"1840"," [SAdev] [Bug 1046] Errors from 'perl Makefile.PL'"
"1841"," [SAdev] [Bug 1006] Spamassassin's build process makes packaging"
"1842"," [SAdev] [Bug 960] COMMENT low-performing rule pruned"
"1843"," [SAdev] [Bug 739] rules broken: RATWARE_*"
"1844"," [SAdev] [Bug 779] rule broken: CORRUPT_MSGID"
"1845"," [SAdev] [Bug 1052] New: bondedsender.com is a scam"
"1846"," [SAdev] [Bug 1052] bondedsender.com is a scam"
"1847"," [SAdev] [Bug 1053] New: IMG tag based rules"
"1848"," Re: [zzzzteana] The tenth planet"
"1849"," [SAdev] [Bug 1053] IMG tag based rules"
"1850"," [SAdev] [Bug 1054] New: Split up FROM_ENDS_IN_NUMS"
"1851"," Re: [SAdev] nightly mass-check and hit-frequencies"
"1852"," Re: [SAtalk] razor2 auth? "
"1853"," [SAtalk] emacs rmail  How to sort subject lines and headers."
"1854"," Re: [SAtalk] Re: AWL bug in 2.42?"
"1855"," [SAdev] Party in San Francisco tonight"
"1856"," Re: [SAdev] 2.40 RELEASE PROCESS: mass-check status, folks?"
"1857"," [SAdev] [Bug 1075] RPM build puts wrong path in the *.cf files"
"1858"," Re: [SAtalk] Setting up a spam eating address"
"1859"," Re: [zzzzteana] The Cafe Forteana is back online!!!"
"1860"," Re: [SAtalk] False Positive of the Week"
"1861"," [SAdev] [Bug 839] mailbox corruption not fixed with procmail 3.22"
"1862"," Failed mail: Banned or potentially offensive material"
"1863"," Re: [SAtalk] spamd error messages"
"1864"," Re: [SAdev] Interesting approach to Spam handling.."
"1865"," Re: [SAtalk] Re: fully-public corpus of mail available"
"1866"," Re: [SAdev] fully-public corpus of mail available"
"1867"," Re: [SAdev] fully-public corpus of mail available "
"1868"," RE: [Razor-users] Razor with sendmail"
"1869"," Razor-users digest, Vol 1 #346 - 8 msgs"
"1870"," RE: [Razor-users] Razor with sendmail"
"1871"," RE: [Razor-users] Razor with sendmail"
"1872"," [Razor-users] Where can i find a positif mail(spam) for test"
"1873"," Re: [zzzzteana] The Cafe Forteana is back online!!!"
"1874"," [Razor-users] Exit.status =13 ?"
"1875"," [Razor-users] Reducing impact from tons of email"
"1876"," RE: [Razor-users] Reducing impact from tons of email"
"1877"," [Razor-users] Reducing impact from tons of email"
"1878"," Re[2]: [Razor-users] Reducing impact from tons of email"
"1879"," [Razor-users] Preproc erasing message"
"1880"," New Freeware"
"1881"," New Freeware Download"
"1882"," [Razor-users] Collision of hashes?"
"1883"," [Razor-users] razor plugins for mozilla?"
"1884"," Re: [Razor-users] razor plugins for mozilla?"
"1885"," [Razor-users] razor plugins for mozilla?"
"1886"," Re: [Razor-users] razor plugins for mozilla?"
"1887"," Re: [Razor-users] Razor v2 effectiveness stats - HTML table - Take 2"
"1888"," Re: [Razor-users] Razor v2 effectiveness stats - HTML table -"
"1889"," Re: [Razor-users] Razor v2 effectiveness stats - HTML table -"
"1890"," Re: [Razor-users] Razor v2 effectiveness stats - HTML table -"
"1891"," Re: Nessus?"
"1892"," [Razor-users] Windows port / bug reports?"
"1893"," Re: [Razor-users] Problem with Razor 2.14 and Spamassassin 2.41"
"1894"," Re: [Razor-users] Problem with Razor 2.14 and Spamassassin 2.41"
"1895"," Re: [Razor-users] Problem with Razor 2.14 and Spamassassin 2.41"
"1896"," Re: [Razor-users] Problem with Razor 2.14 and Spamassassin 2.41"
"1897"," Re: [Razor-users] removing Razor1"
"1898"," Re: [Razor-users] Problem with Razor 2.14 and Spamassassin 2.41"
"1899"," Re: [Razor-users] Problem with Razor 2.14 and Spamassassin 2.41"
"1900"," RE: [Razor-users] spamassassin+razor2"
"1901"," Re: [Razor-users] spamassassin+razor2"
"1902"," *****SPAM***** Computer Maintenance"
"1903"," Re: [Razor-users] Problem with Razor 2.14 and Spamassassin 2.41"
"1904"," [zzzzteana] Latest Iraq-related news"
"1905"," [Razor-users] spamassassin+razor2"
"1906"," *****SPAM***** Computer Maintenance"
